longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity
-122.4,37.72,41.0,1975.0,440.0,1528.0,424.0,3.8625,NEAR BAY
-121.98,38.34,18.0,3876.0,916.0,2386.0,867.0,2.5938,INLAND
-117.82,33.64,18.0,1974.0,260.0,808.0,278.0,9.8589,<1H OCEAN
-118.34,34.02,48.0,1614.0,320.0,684.0,318.0,4.2218,<1H OCEAN
-120.93,38.26,13.0,2084.0,449.0,834.0,305.0,3.2937,INLAND
-117.93,33.82,28.0,2444.0,555.0,1848.0,567.0,3.0179,<1H OCEAN
-120.98,39.93,25.0,2220.0,511.0,912.0,449.0,1.8914,INLAND
-121.05,39.13,10.0,3063.0,497.0,1168.0,507.0,4.4375,INLAND
-122.32,38.35,20.0,3494.0,549.0,1673.0,541.0,5.5718,INLAND
-117.25,33.08,13.0,3651.0,465.0,1311.0,435.0,7.5402,NEAR OCEAN
-118.38,34.06,29.0,3946.0,1008.0,1676.0,876.0,2.7824,<1H OCEAN
-118.58,34.22,35.0,2560.0,441.0,1428.0,468.0,5.6345,<1H OCEAN
-122.01,37.94,26.0,1619.0,224.0,706.0,220.0,6.0704,NEAR BAY
-117.7,35.6,16.0,2678.0,483.0,1473.0,487.0,3.858,INLAND
-117.93,34.03,35.0,2160.0,399.0,1694.0,403.0,3.8581,<1H OCEAN
-122.14,37.88,34.0,6986.0,1096.0,2865.0,1124.0,6.2275,NEAR BAY
-121.38,36.85,13.0,4115.0,782.0,2903.0,747.0,3.7316,INLAND
-121.06,37.67,31.0,906.0,146.0,383.0,129.0,3.4167,INLAND
-122.28,37.82,52.0,1489.0,335.0,728.0,244.0,0.8172,NEAR BAY
-118.13,34.16,36.0,2162.0,658.0,1337.0,590.0,2.2095,<1H OCEAN
-118.3,33.93,35.0,1300.0,356.0,1216.0,326.0,1.2,<1H OCEAN
-117.21,34.14,16.0,1613.0,245.0,811.0,267.0,5.2591,INLAND
-118.36,33.91,36.0,2064.0,474.0,1366.0,421.0,4.1,<1H OCEAN
